CASEQUANTITY,CASEDATE,DISTRICTNAME,VDCMCP,Location,Batch,Observations,Coder 
150,2004-06-08,Kalikot,Manma,"Manma Village Development Committee, located in the headquarters of Kalikot District. An article from 15/6 also reports an event of 150 abducted in Manma, Sukatiya, Bharta, Daha, Mugraha, Gela and other VDCs--am assuming that this is the same event but with more detailed location information",2,,KE
50,2004-06-13,Sindhuli,Dudhauli,,2,businessmen,KE
197,2004-06-14,Udaypur ,,eight different schools at Udayapur district in east Nepal,2,used reporting date,KE
350,2004-06-14,Kalikot,,MULTIPLE: SUMMARY,2,"summary article for one week, presumably for Kalikot district (although not explicit): ""In the past one week, Maoists have abducted 500 people, including teachers, students, officers and social activists, from various VDCs. Among the abductees, more than four dozen are teachers. On 6 June alone, 64 people were kidnapped, including five government officers, two teachers, seven Red Cross volunteers and social activists.""",KE
38,2004-06-13,Taplejung,Furunbu,Mayam Secondary school of Furunbu VDC [village development committee] of Taplejung district,2,"local residents say thirty-eight students have been abducted , security sources say only twenty-five students have been abducted",KE
1000,2004-06-20,Achham,all,all 65 VDCs in the district,2,used reporting date,KE
140,2004-06-22,Udaypur ,Chilaune,one report says Jalajale; another says a limestone mine at Sidali of Chilaune VDC,2,,KE
200,2004-06-26,Doti,Lanakedarekhar,,2,,KE
25,2004-06-23,Bajura,,,2,,KE
150,2004-07-05,Udaypur,,"""east Udaypur""",2,,KE
15,2004-07-09,Kaski,Lahachowk,"Lahachowk Village Development Committee (VDC), Mardikholain Kaski District",2,,KE
100,2004-07-12,Taplejung,,four Village Development Committees situated about 12 km west of the district headquarters,2,,KE
13,2004-07-15,Rolpa,,,2,,KE
54,2004-07-18,Kathmandu,Chhaimale,"Chiamale village, about 25 kilometers south of Katmandu; Chimale Village Development-3",2,estimates range from 54-88,KE
400,2004-07-20,Doti,,eastern Doti,2,,KE
140,2004-07-26,Darchula,,Gokuleshwor in Darchula District,2,,KE
18,2004-07-25,Bajhang,,"10 teachers from Bagadgaun High School, eight from Chaudhary High School and some other civilians on Sunday",2,,KE
100,2004-07-29,Panchthar,,,2,,KE
12,2004-08-04,Banke,Banakatti,Banakatti Village Development Committee Ward No. 4 and 5 in Banke district,2,,KE
500,2004-08-06,Dandeldhura,Jogbudha,"Tatopani and Kurmule of Jogbudha Village Development Committee, and Jamareni, Saleta and Malashka schools",2,,KE
15,2004-08-11,Udaypur,,Ghurmi Bazaar in Udayapur district,2,,KE
60,2004-08-13,Palpa,,,2,,KE
450,2004-08-16,Ramechhap,,Katahare High School at Tilpung ,2,,KE
14,2004-08-21,Jumla,Khalanga,,2,,KE
300,2004-08-25,Jajarkot,"Gorkhakot, Laha, Chakala and Pajarul ","Gorkhakot, Laha, Chakala and Pajarul Village Development Committees",2,,KE
125,2004-08-27,Sindhuli,,,2,,KE
7,2004-08-29,Udaypur,,,2,,KE
11,2004-08-29,Baitadi,Dasarath Chand,near the district headquarters: Kalika Secondary School and Jagannath Boarding School in Thaligada in Dasarath Chand Municipality-7,2,,KE
10,2004-08-31,Rukum,,Mahendra High School,2,,KE
12,2004-09-05,Panchthar,,Ranitar village near the district headquarters of Phidim,2,,KE
13,2004-09-07,Dailekh,Lakendra,Lakendra,2,,KE
5,2004-09-07,Baglung,,,2,,KE
18,2004-09-06,Sindhupalchowk,,Bag Bhairab Higher Secondary School after a mass meet in Thokarpa village,2,estimates range 18-22,KE
2000,2004-09-11,Dandeldhura,,throughout district,2,,KE
1000,2004-09-11,Doti,,eastern and/or Southern Doti,2,,KE
200,2004-09-05,Baglung,,Mahendra Ratna High School and Sishu Kalyan High School,2,,KE
865,2004-09-13,Syangja,"Kolma, Barandchaur, Orstay, Peelkachaur, Banethok, Kinne, Bhanjyang and Majhkot Shivalaya ","Kolma, Barandchaur, Orstay, Peelkachaur, Banethok, Kinne, Bhanjyang and Majhkot Shivalaya Village Development Committees",2,,KE
204,2004-09-12,Taplejung,,,2,,KE
7,2004-09-18,Jhapa,,,2,estimates 7-11,KE
32,2004-09-16,Bhojpur,Bhulge,Panchakanya secondary school of Bhulge VDC,2,,KE
19,2004-09-16,Bhojpur,Jalgaun,Nawa Durga secondary school of Jalgaun VDC,2,,KE
52,2004-09-17,Baitadi,,,2,,KE
40,2004-09-17,Ramechhap,,Kantheswor Secondary School in Tokarpur village in Ramechhap,2,,KE
300,2004-09-20,Syangja,Putalibazaar,Kalika Higher Secondary School in Putalibazaar Municipality-10,2,,KE
300,2004-09-20,Syangja,,Pachakanya High School in Arjunchaupari,2,,KE
60,2004-09-26,Panchthar,,,2,,KE
200,2004-09-25,Dandeldhura,Jogbuda,Siddhanath Secondary School situated at Chandani Tatopani along Indo-Nepal border in Jogbuda VDC,2,,KE
100,2004-10-05,Gulmi,Bhurtung,,2,,KE
150,2004-10-19,Baglung,Bobang and Nisi/Nishi,Dhorpatan Hunting Reserve in Nisi village and Bobang Village Development Committee on Ghatasthapana,2,,KE
52,2004-10-19,Baglung,Nisi/Nishi,Jhalkot of Nisi Village Development Committee,2,,KE
36,2004-10-24,Dailekh,,,2,,KE
5,2004-10-28,Panchthar,,Tharpu of Panchthar,2,,KE
12,2004-11-15,Kailali,,Musariya along eastwest highway,2,SECURITY FORCES ,KE
53,2004-11-16,Bajhang,,travelling on a bus to Dadeldhura,2,,KE
40,2004-11-16,Parbat,Urampokhara,Urampokhara VDC [village development committee area] in Parbat District,2,,KE
100,2004-11-16,Bajura,,different VDCs,2,,KE
18,2004-11-19,Bhojpur,,,2,no date given; used reporting date,KE
24,2004-11-20,Dailekh,Salleri village,,2,,KE
150,2004-11-13,Darchula,,a dozen villages,2,,KE
200,2004-11-23,Lamjung,,Suryadaya Higher Secondary School in Chandreswor village,2,,KE
300,2004-11-23,Lamjung,,Sanskrit Sadan Secondary School in Duradada village,2,,KE
200,2004-11-23,Lamjung,,Ganesh Malika Secondary School in Nete village,2,,KE
100,2004-11-23,Lamjung,,Shaubhagya Secondary School in Dhuseni village,2,,KE
50,2004-11-23,Lamjung,,Panini Sanskrit Secondary School in Chandreswor village,2,,KE
15,2004-11-25,Rukum,,,2,,KE
12,2004-11-27,Myagdi,Muna,Muna Village Development Committee,2,,KE
2000,2004-12-03,Bajura,,8 VDCs,2,past four days,KE
70,2004-12-11,Makwanpur,,Hetauda Municipality,2,70-100 range,KE
500,2004-12-16,Doti,,"Mudhbhara, Toleni, Dehimandu and other remote villages",2,,KE
109,2004-12-17,Nawalparasi,"Buligntar, Arkhala, Ruchang Bharatipur, Jauwari, Dandajheri, Dhobadi","Buligntar, Arkhala, Ruchang Bharatipur, Jauwari, Dandajheri, Dhobadi Village Development Committees",2,,KE
12,2004-12-19,,,"""south of the capital""",2,SECURITY FORCES ,KE
200,2004-12-23,Kailali,,Badimalika Higher Secondary School at Sugarkhal in the far-Western district of Kailali,2,,KE
2000,2005-01-05,,,"all the Village Development Committees, except headquarters Mangalsen, of Achham district",2,,KE
207,2005-01-04,"Makwanpur, Lalitpur",,"Panchakanya Secondary School of Panchakanya village, Makwanpur, Batsaladevi Secondary School of Sisneri, Makwanpur, and two schools in Kogate village and Malta village in Makwanpur and Lalitpur respectively",2,,KE
50,2005-01-05,,,Ranke along the Ilam-Panchthar section of Meche highway,2,,KE
300,2005-01-09,Rautahat,,Chandranighapur-Pathlaiya section of the Mahendra Highway (160 km south of ktm),3,,KE
14,2005-01-14,Kailali,,,3,SOLDIERS IN INDIAN ARMY (Gurkhas on leave),KE
190,2005-01-16,Dhading,,Satyavati Higher Secondary School in Adamtar of Dhading district,3,,KE
90,2005-01-19,Ramechhap,Salukalika,Setidevi Secondary School in Salukalika VDC,3,,KE
112,2005-01-19,Ramechhap,Gothgaun,Chandeswori Secondary School in Gothgaun,3,,KE
250,2005-01-21,Dhading,,Rigaon in Dhading district ,3,,KE
162,2005-01-21,Sankhuwasabha,,"Rameshwor Higher Secondary School in Mamling, Sankhuwasabha",3,,KE
6,2005-01-23,,,a bus bound for Sindhulimadi from Bardibas,3,,KE
101,2005-01-25,Dhading,,Shivabhanjyang High School in Dhading,3,,KE
350,2005-01-26,Sankhuwasabha,,,3,250 kidnapped and release one day; 700 more immediately kidnapped thereafter,KE
300,2005-01-26,Sankhuwasabha,,Janajyoti Secondary School in Dupok village,3,,KE
85,2005-01-26,Sankhuwasabha,,Sharada Lower Secondary School,3,,KE
24,2005-01-26,Sankhuwasabha,,Janajagriti Primary School,3,,KE
159,2005-01-26,Sankhuwasabha,,Saraswati Secondary School in Matsyapokhari village,3,,KE
165,2005-01-26,Sankhuwasabha,,Dharmadevi Lower Secondary School in Matsyapokhari village,3,,KE
400,2005-01-27,Dhading,,3 villages,3,estimates of 100 & 400,KE
400,2005-01-28,Doti,,,3,,KE
1000,2005-01-28,Jhapa,,"Jana Adarsha Secondary School, Sivagunj and Tribhuvan Secondary School, Panchgachhi",3,,KE
7,2005-01-28,Dailekh,Dullu,Shanti Bazaar of Dullu Village Development Committee,3,,KE
9,2005-01-28,Panchthar,Chyangthapu,Bishnu High School of Chyangthapu Village Development Committee Ward No. 9.,3,,KE
350,2005-02-26,Sankhuwasabha,,Chainpur Bazar area of Sankhuwasabha district,3,,KE
5,2005-04-08,Panchthar,,Ektin village of Panchthar,3,,KE
400,2005-04-08,,,"Borbattai, 590 kilometres (369 miles) east of Kathmandu",3,,KE
10,2005-03-26,Kailali,,,3,"abducted ""over a month ago""--article dated 2005-04-27",KE
48,2005-04-29,Makwanpur,,Palung area of Makwanpur district,3,,KE
130,2005-05-11,Dang,,"a secondary school in Gangahi, Rajapur village in Dang",3,,KE
26,2005-05-11,Dang,,"primary school in Sikta, Rajapur village in Dang",3,,KE
28,2005-05-11,Dang,,"primary school in Dulaiya, Rajapur village in Dang",3,,KE
100,2005-05-13,Dang,Dharna,two schools in Dharna Village Development Committee,3,,KE
450,2005-05-15,"Tanahun, Palpa, and Baglung ",,"Tanahun, Palpa, and Baglung districts. Siddheswore village of Palpa district and Bhagvati village of Baglung.",3,"""past several days"" used reporting date",KE
0,2005-05-15,Myagdi,,Niskot area of Myagdi district,3,"confusing reporting--some articles cite this as the location of abduction, but my best guess is that this location is where the students abducted in the row above (Tanahun, Palpa and Baglung) and below (Salyan) were rescued at and not a separate incident. other articles report that there were new abductions but the information was too poor to distinguish those reports from this incident.",KE
200,2005-05-15,Salyan,,Kotmal village in Salyan district,3,used reporting date,KE
25,2005-05-26,Dhankuta,,"Uttarpani, Dhankuta",3,,KE
36,2005-06-04,Kaski,,Parche village,3,,KE
1000,2005-06-08,Jajarkot,,152 from Shankar Bhaban Secondary School at Khalanga and 850 students and teachers from 11 schools of the district,3,,KE
6,2005-06-15,Kailali,,,3,all killed; Maoists deny involvement,KE
200,2005-06-15,Gulmi,,"Shantipur, Harrachaur, Harewa and Gwagha",3,,KE
11,2005-05-18,Kaski,Bharatpokhari,Bharatpokhari Village Development Committee,3,"""one month ago"" article dated 18 June 2005",KE
20,2005-06-19,Khotang,,"Diktel, about 200 kilometers southeast of the capital",3,SECURITY FORCES ,KE
150,2005-06-24,Kanchanpur,,Suda Secondary School in far-western district of Kanchanpur,3,,KE
250,2005-06-15,Gulmi,,,3,,KE
90,2005-06-22,Gulmi,,"Paudiamrai village, about 300 kilometers (190 miles) west of Katmandu",3,,KE
250,2005-06-27,Kanchanpur,,,3,,KE
6,2005-07-03,Baitadi,Gajari and Sigas,Gajari and Sigas VDCs,3,,KE
40,2005-07-11,Doti,,Gajari area of Doti District,3,,KE
6,2005-07-23,Pyuthan,,various places incl. Bijuwar and Markabang in Ratapani,3,,KE
7,2005-07-30,Ilam,Kolbung VDC-1,,3,,KE
215,2005-08-01,Achham,,Binayak village in Achham district,3,,KE
100,2005-08-01,Baglung,,Darling village in Baglung district,3,,KE
9,2005-08-02,Palpa,,,3,,KE
22,2005-08-02,Rupandehi,,Bashantapur Hill,3,,KE
150,2005-07-31,Bajura,,four villages in the Bajura district,3,,KE
70,2005-07-31,Achham,,,3,,KE
24,2005-08-11,Palung,,,3,,KE
50,2005-08-17,Rolpa,"Sirpa, Pang","Sirpa, Pang and neighbouring VDCs [village development committees] of Rolpa district",3,"past couple weeks, used reporting",KE
60,2005-08-07,Kalikot,,Pili in Kalikot district,3,,KE
300,2005-08-23,Rukum,,,3,,KE
40,2005-08-23,Gorkha,,"Deurali, Baluwa and Arwang villages in western Gorkha",3,,KE
60,2005-08-23,Darchula,,Sifti locality in northwestern Darchula district,3,,KE
5,2005-08-25,Saptari,,Jagatpur of Saptari district,3,,KE
7,2005-08-10,Dailekh,Naumule,Naumule VDC [village development committee] in Dailekh district,3,"""two weeks ago""",KE
150,2005-08-24,Banjura,,Dhime Gau,3,,KE
50,2005-08-24,Banjura,,Jagannath area,3,,KE
5,2005-08-28,Taplejung,,"Kalika Secondary, Laxmi Lower Secondary, Saraswati Primary, Tatne Primary and Khokse Primary schools",3,,KE
130,2005-08-30,Salyan,,Triveni and Korbang Jhimpe villages in Salyan district,3,,KE
200,2005-08-30,Taplejung,"Phakumba, Khobling, Sandhu, others","Phakumba, Khobling, Sandhu and many other VDCs [village development committees]",3,,KE
50,2005-09-06,Taplejung,,"Hangdeva, Furumbu, Lingkhim villages",3,,KE
100,2005-09-08,Myagdi,,"a dozen schools, including Janapriya Secondary School, Darbang; Kissani Secondary School, Bim and Rastriya Secondary School, Rum among others in the district",3,,KE
63,2005-09-03,Darchula,,"Ranishikhar village, Darchula District",3,,KE
250,2005-09-12,Dandeldhura,"Chipur, Bhadrapur, Dewad, Divyapur","Chipur, Bhadrapur, Dewad, Divyapur VDCs",3,,KE
60,2005-09-17,Morang,,nine different schools in the rural areas of the district; Kerabari village,3,,KE
23,2005-09-18,Bajhang,,Chaudhari area of Bajhang district,3,,KE
22,2005-09-18,Baglung,,,3,,KE
12,2005-09-18,Darchula,,Kante and Banjhe area of Darchula district,3,,KE
12,2005-09-19,Ramechhap,,Tamakoshi Janajagrit Higher Secondary School at Khimti Besi of Ramechhap district,3,,KE
400,2005-09-20,"Dandeldhura, Kalikot",,Dadeldhura district's Gaura village; Raskot village of Kalikot district,3,,KE
80,2005-09-20,Doti,,,3,,KE
24,2005-09-20,Dolakha,,,3,,KE
36,2005-09-19,Morang,,Kerabari village of Morang district,3,,KE
5,2005-09-19,Kailali,,Godavari in Kailali district,3,,KE
60,2005-09-21,Dolpa,,Saraswati Secondary School in Dolpa district,3,,KE
2000,2005-09-21,Achham,,"abducted students and teachers of 30 schools located in different remote villages including Yalsa, Bayalpata, Barala, Binayak, Dhaku, Durmakada and Hirma of the district plus one member each of a family from 40 villages of the district; 73 different schools from electoral constituency number 1",3,over the past week. Estimates range 750-2000,KE
1000,2005-09-21,Baitadi,,"from almost all the schools of Baitadi district, incl. Kulab, Melauli, Sailoda, Titabai, Sarmali, Salena, Pipalbot, Jewalkatte, Rantoli and Rodidewal areas",3,,KE
24,2005-09-23,Pyuthan,,,3,estimates 18 & 24,KE
109,2005-09-25,Okhaldunga,,four schools in Okhaldunga district,3,Another article puts the estimate at 94,KE
200,2005-09-26,Salyan,,Karagiri and Triveni villages of Salyan district,3,date unclear,KE
230,2005-09-25,Achham,,"Himchadhari village and surrounding areas in Accham district; Hichma, Dhari and Dhungachalna villages",3,,KE
200,2005-09-25,Doti,,Gaira village in the neighboring Doti district--Kaudamandu area?,3,,KE
350,2005-09-25,Baitadi,,,3,estimates 300 & 350,KE
10,2005-09-25,Doti,,Gairagaun village,3,,KE
30,2005-09-25,Doti,,Ladagada area,3,,KE
100,2005-09-25,Morang,,Tandi area of Morang district,3,date unclear,KE
150,2005-09-28,Gorkha,,,3,,KE
333,2005-10-02,Panchthar,"Bharapa, Subhang, Panchami, Tharpu, Yoyang, Nagi",,3,,KE
33,2005-10-02,Panchthar,,,3,,KE
134,2005-10-03,Panchthar,,,3,Summary figure for one week,KE
6,2005-09-23,Khotang,,Lichki Ramche village in Khotang,3,"""two weeks ago"" reported on 7 October",KE
150,2005-10-07,Panchthar,,,3,,KE
200,2005-10-23,Doti,,"Giri Chauki, Chepali, Daud and Toleni area of Doti District",3,reporting date,KE
75,2005-10-23,"Bajura, Accham",,,3,reporting date,KE
400,2005-10-30,Doti,,"Richauli, Chapali, Bhajkakani and Mahadevsthan villages in Doti district / Girichauka, Chhapali, Bajhkakani and Mahadevsthan areas of Doti district",3,,MC
12,2005-10-30,Ilam,,high school in Ilam district,3,,MC
53,2005-11-15,Kaski,,northern part of Kaski,3,,MC
6,2005-11-14,Khotang,,"Diktel, Khotang",3,,MC
36,2005-11-15,Yanjakot,,"Sitaram, Yanjakot",3,,MC
21,2005-11-15,,Thumakodanda,Dhruba Secondary School of Tarkang in Thumakodanda VDC,3,,MC
300,2005-11-13,Taplejung,,"Saba, Nalbu and Thukima",3,,MC
560,2005-11-15,Taplejung,"Dhungesanghu, Change, Hangpang, Phoolbari and Nighuradin VDCs","Dhungesanghu, Change, Hangpang, Phoolbari and Nighuradin VDCs",3,"Different event, date of incident given",MC
17,2005-11-17,Kavre,"Ruptar, Risku, Saune and Pachawati in Udaypuar","Ruptar, Risku, Saune and Pachawati",3,,MC
150,2005-11-16,Myagdi,,"""western region of Myagdi""",3,,MC
12,2005-12-04,Udayapur,,"Siddhakali Primary School of Udayapur district,",3,,MC
29,2005-12-04,,,near Kavre village,3,Unknown kidnapping date. Date of release listed,MC
62,2005-12-06,Doti district,,Gajari and Pokhari village,3,,MC
